model,subject,idx,gold,pred,correct,raw,gen_tps,prompt_tps,prompt_tokens,total_ms,error
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,60,C,A,0,A,69.33129961521128,437.74504372785594,115,1071.7244148254395,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,61,C,D,0,D,70.76640011322624,484.1044955098198,109,1093.0559635162354,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,62,B,B,1,B,71.29362278544184,441.2810863171711,116,1170.7863807678223,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,63,A,A,1,A,69.44685579360394,475.4837046846254,107,1137.6919746398926,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,64,D,D,1,D,71.76175098672408,445.45295331500756,117,1173.8433837890625,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,65,C,C,1,C,66.06110652353426,323.8740059195658,137,1362.321376800537,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,66,A,B,0,B,71.42346975216056,369.0570739383704,125,1209.5143795013428,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,67,B,A,0,A,64.82141699617554,440.6574913672918,116,1188.305139541626,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,68,C,B,0,B,71.57427620513188,460.25350040836213,102,1126.0850429534912,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,69,A,A,1,A,69.95697645947742,422.91192002011695,111,1169.1009998321533,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,70,A,A,1,A,70.94211123723042,472.66637856525494,105,1130.120038986206,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,71,B,A,0,A.,54.81454412570802,419.7031570060023,110,1195.011854171753,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,72,C,A,0,A,74.43799315170463,428.568696992629,112,1163.4931564331055,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,73,C,C,1,C,70.60650992021465,464.34045622576866,103,1057.8382015228271,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,74,B,A,0,A,68.97503103876396,430.21888025150247,113,1194.270133972168,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,75,D,D,1,D,74.96251874062969,351.23019865341917,118,1212.9371166229248,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,76,C,A,0,"A, B",47.54037960993118,472.6834011596499,105,1130.8422088623047,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,77,A,A,1,A,71.09088970248463,360.3529095543734,122,1249.668836593628,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,78,D,D,1,D,70.45478564131469,479.4268186035362,108,1086.1213207244873,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,79,C,B,0,B,72.01757228763819,366.6025112272019,124,1258.5961818695068,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,80,A,C,0,C,72.56630746344473,311.424519226001,157,1417.9518222808838,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,81,B,B,1,B,71.54867098343648,385.6503028231355,132,1260.8623504638672,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,82,C,C,1,C,71.25552230297848,355.81385005411335,120,1219.6271419525146,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,83,D,D,1,D,70.82152974504248,433.79655702522115,114,1186.3501071929932,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,84,A,A,1,A,72.79609812914028,388.98101597161906,133,1253.7472248077393,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,85,C,C,1,C,72.80139778683751,333.5815618664593,142,1334.5587253570557,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,86,B,A,0,A,71.7128617017462,362.9464167156005,123,1168.677806854248,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,87,D,D,1,D,72.45326764237068,375.71296712659455,127,1246.1187839508057,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,88,C,C,1,C,70.80648587410607,426.9057338776381,112,1135.2465152740479,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,89,C,C,1,C,71.36739937196688,434.0905802344089,114,1180.0403594970703,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,90,D,D,1,D,70.37050068611238,431.7821999681845,114,1173.7794876098633,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,91,D,D,1,D,71.69486664754804,374.3750589567022,127,1268.6891555786133,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,92,B,A,0,A,69.02502157031924,469.48980631330915,106,1133.4919929504395,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,93,A,B,0,B,72.34057944804138,304.18342865085583,151,1423.4931468963623,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,94,C,B,0,B,71.36994611569068,438.04684434862435,115,1180.7012557983398,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,95,D,D,1,D,71.62554166815886,420.13757595896396,110,1177.1974563598633,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,96,A,A,1,A,73.07537725163506,375.6340673479348,127,1182.138442993164,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,97,B,C,0,C,70.93959493491292,426.7268148272328,112,1171.985149383545,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,98,D,C,0,C,72.50580046403712,378.9888577275828,130,1246.3698387145996,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,99,B,C,0,C,70.77140835102618,479.254493010872,108,1169.1138744354248,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,0,A,A,1,A,68.46032724036421,230.30826458177077,152,1585.5696201324463,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,1,C,B,0,B,91.19095385737735,274.0912238658263,226,1613.239049911499,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,2,B,B,1,B,72.81730139081046,230.68819414718416,270,1640.5956745147705,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,3,A,A,1,A,89.35352723048743,227.77359155639564,305,2254.9118995666504,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,4,C,D,0,D,72.34319612240469,384.98499734037085,131,811.497688293457,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,5,C,D,0,D,73.94808844191377,296.67212583741764,196,1556.6904544830322,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,6,C,D,0,D,88.23788934968677,240.6139975650686,234,1904.7620296478271,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,7,B,C,0,C,72.43752263672583,337.58484196512416,142,1046.8385219573975,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,8,C,A,0,A,70.9496612153677,354.6479885392703,152,1335.9119892120361,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,9,C,A,0,A,87.68853034023151,248.87068577587215,245,1894.8075771331787,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,10,D,D,1,"D. I, II, and III",40.98976622169998,288.57535359120794,167,1244.4090843200684,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,11,A,B,0,B,87.78475178861432,342.09166641108095,145,1335.5765342712402,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,12,A,C,0,C,84.77090662484636,242.39919977580632,237,1438.0042552947998,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,13,C,C,1,C,70.30618342883257,328.70233520543894,139,899.5296955108643,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,14,A,C,0,C,73.57539638744804,278.3694810224632,184,1535.9869003295898,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,15,D,D,1,D,72.02016564638099,292.10356727717317,194,1169.3854331970215,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,16,D,A,0,A,70.30865499542993,343.4202318904232,147,1361.290454864502,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,17,B,C,0,C,73.04068366079906,335.11115306555905,142,1332.1928977966309,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,18,A,A,1,A,70.65889418830595,348.0031857472843,149,1313.7335777282715,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,19,D,C,0,C,87.72699359592947,299.4872363040852,173,1502.2380352020264,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,20,D,D,1,D,69.87631891551953,380.17031630170317,130,910.1905822753906,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,21,B,A,0,A,71.6820185656428,325.6460416307787,138,1358.2873344421387,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,22,A,A,1,A,70.93456286575633,318.9680445617121,136,1353.3892631530762,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,23,A,B,0,B,87.34387282732116,335.3246703829836,141,1321.4247226715088,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,24,A,B,0,B,86.58008658008659,274.25371114588734,228,1288.4905338287354,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,25,D,D,1,"D. I and II

Explanation:
- **I. It can provide the functionality of an atomic T",42.71446890342169,245.50769297751248,203,2678.50399017334,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,26,C,C,1,C,69.95452955578874,370.7845329880525,126,811.7151260375977,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,27,D,D,1,D,74.6742336556771,382.0753746542952,130,1268.6073780059814,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,28,D,D,1,D,73.94535438311088,246.03272235207282,294,2040.5256748199463,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,29,C,B,0,B,70.41509699679611,320.75396048594223,136,1001.5254020690918,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,30,C,C,1,C,64.78572122704156,385.5219002724939,132,1255.6297779083252,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,31,D,D,1,D,76.44383289378129,250.16314988035677,207,1748.6796379089355,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,32,D,B,0,B,71.77977963607653,296.04283671000024,172,1314.1319751739502,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,33,A,D,0,D,70.89935836080683,307.4115748340273,156,1438.4634494781494,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,34,B,B,1,B,70.58159232072275,375.39959527231133,128,1197.282075881958,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,35,C,A,0,A,70.81902198930634,332.27210493200204,141,1332.7052593231201,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,36,C,C,1,C,69.66456511895225,363.7707948243993,123,843.3315753936768,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,37,D,B,0,B,74.20874921153204,284.1304098127762,188,1577.3766040802002,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,38,D,B,0,B,73.23861139592793,320.14038748843933,162,1421.170949935913,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,39,B,B,1,B,73.21716210279689,309.80047822239567,181,1417.2546863555908,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,40,A,C,0,C,76.76364473785215,288.3277336749528,167,1455.172061920166,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,41,D,B,0,B,72.42440702516748,344.27680792164546,147,1254.8871040344238,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,42,A,D,0,D,88.46817357455656,255.6664655262246,211,1727.3385524749756,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,43,D,A,0,A,86.67013347200555,229.8400194727928,271,1713.2911682128906,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,44,D,A,0,A,75.94167679222357,317.8557961300563,161,1275.3181457519531,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,45,C,D,0,D,88.34312469632052,299.5287183979888,173,1418.6022281646729,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,46,D,D,1,D,71.67944950182783,452.808939182086,119,732.5639724731445,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,47,A,A,1,A,74.49344457687724,245.73371993209724,294,2119.398355484009,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,48,A,B,0,B,85.45547769612031,223.32327104906744,263,2001.6562938690186,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,49,D,C,0,C,70.90438543623924,352.2860095793799,151,1256.2146186828613,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,50,D,D,1,D,71.49751546133771,308.1103034886489,154,1434.2403411865234,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,51,B,D,0,D,72.56894049346879,309.1330098922563,157,1420.7580089569092,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,52,C,B,0,B,88.25346394845997,261.2560853920353,216,1283.9109897613525,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,53,C,C,1,C,70.87423367234841,449.4161366829312,119,994.868278503418,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,54,A,D,0,D,73.83070619070472,291.31150508071397,169,1493.0002689361572,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,55,C,B,0,B,87.96235211329551,279.4267499479871,184,1545.7532405853271,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,56,D,D,1,"D. (I, II) and (I, III) only",44.66133311101914,245.76780539083163,202,1868.6466217041016,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,57,D,D,1,D,70.1213098660683,330.1045959991323,140,1029.1945934295654,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,58,B,A,0,A,71.79008578915253,304.9072944787798,178,1504.5230388641357,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,59,D,C,0,C,76.5608850438311,299.85472555537746,174,1495.5413341522217,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,60,D,D,1,D,86.31479003927323,242.454139254248,289,2059.612989425659,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,61,B,A,0,A,86.16232982939859,306.7782391968996,177,1045.9904670715332,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,62,D,D,1,D,79.37137868084768,354.23308537017357,151,1177.7722835540771,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,63,A,A,1,A,70.34574935809503,455.5047752083934,120,731.6036224365234,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,64,A,C,0,C,71.4617500982599,394.7922260766071,136,1274.6186256408691,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,65,C,C,1,C,72.72462819533835,327.2709349894031,166,1411.8945598602295,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,66,A,A,1,A,71.70000717000072,310.5855048720968,182,1499.7162818908691,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,67,B,C,0,C,73.95082270290257,323.6437550569337,164,1394.460678100586,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,68,B,B,1,B,71.34194192765928,255.9562738006584,254,1916.9161319732666,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,69,A,A,1,A,74.0521327014218,246.55986306315944,295,2150.6786346435547,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,70,D,D,1,D,71.2326815542971,314.52346276657573,184,1447.4139213562012,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,71,A,B,0,B,88.89679082585118,235.96566137803944,231,1883.6047649383545,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,72,D,B,0,B,86.14377395873713,292.09143521321164,193,1297.450065612793,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,73,C,B,0,B,86.29616845012082,257.5609945742104,212,1296.3080406188965,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,74,D,A,0,A,70.43493572812115,357.8763198151206,153,1184.882402420044,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,75,C,B,0,B,71.47451933385749,309.2616165326818,181,1417.9086685180664,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,76,A,A,1,A,70.98743522396535,330.04078361111766,140,1317.3129558563232,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,77,B,B,1,B,87.03220191470844,236.9774163052269,281,2091.85791015625,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,78,C,A,0,A,86.64009703690868,227.20078422562824,267,1643.890142440796,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,79,D,B,0,B,83.31250520703158,296.3830923784743,172,1048.1946468353271,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,80,B,A,0,A,73.14218841427736,327.31211292863003,165,971.1618423461914,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,81,C,C,1,C,70.78643731860976,444.0986143519713,117,739.4287586212158,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,82,D,D,1,D,71.43622530985462,305.29323586818197,178,1508.777379989624,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,83,A,B,0,B,83.10479514667996,383.4546630721451,131,1276.3726711273193,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,84,D,B,0,B,72.65065930473318,296.8721413111393,172,1039.0961170196533,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,85,D,C,0,C,87.81944322472995,312.55098273241686,182,1494.5030212402344,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,86,A,A,1,A,84.43449993667413,335.1505500236985,169,977.0636558532715,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,87,B,C,0,C,88.23788934968677,237.47279810513083,232,1433.300256729126,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,88,C,B,0,B,70.59903279325073,326.4941062866935,165,978.6722660064697,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,89,A,A,1,A,69.59910913140311,338.2255521240565,145,1274.4898796081543,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,90,C,B,0,B,70.41261794113505,1110.9562249454027,263,1171.5435981750488,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,91,C,B,0,B,72.31703789412785,322.3261268066577,163,1438.9197826385498,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,92,B,B,1,B,89.08289163066233,253.445948834454,249,1910.1285934448242,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,93,C,A,0,A,71.15411982353778,287.2472480687752,168,1245.2476024627686,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,94,D,D,1,D,87.92754770069463,265.1282799079764,220,1662.369966506958,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,95,A,A,1,A,73.99186089530153,344.1663798613501,147,975.1653671264648,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,96,A,B,0,B,88.73901854645489,259.5295634350609,215,1673.8576889038086,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,97,D,D,1,D,88.06693086745926,301.205340682282,174,1298.2969284057617,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,98,C,C,1,C,85.48835221201112,230.0212536243201,271,1670.6066131591797,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,99,D,D,1,D,71.83908045977012,312.03619619875906,156,1154.5968055725098,
qwen2.5:1.5b-instruct-q4_K_M,college_physics,0,B,A,0,A,90.12256669069936,228.13971276009428,190,1708.1701755523682,
qwen2.5:1.5b-instruct-q4_K_M,college_physics,1,C,B,0,B,72.70083605961469,294.1277649729953,171,1099.1721153259277,
qwen2.5:1.5b-instruct-q4_K_M,college_physics,2,C,C,1,C,74.38262421898244,343.8186321631805,147,1340.0461673736572,
