model,task_id,passed,fail_reason,gen_tps,eval_count,total_ms,error
qwen2.5-coder:7b,HumanEval/70,1,,3.5661622257206758,171,52742.42424964905,
qwen2.5-coder:7b,HumanEval/71,1,,3.485218218529147,201,62453.31811904907,
qwen2.5-coder:7b,HumanEval/72,1,,3.398633286095105,245,80127.12955474854,
qwen2.5-coder:7b,HumanEval/73,1,,3.34495188107803,215,70039.39914703369,
qwen2.5-coder:7b,HumanEval/74,1,,3.3981389746565966,246,79568.119764328,
qwen2.5-coder:7b,HumanEval/75,1,,3.476075944034296,142,44881.816387176514,
qwen2.5-coder:7b,HumanEval/76,1,,3.401607815474635,183,59353.04927825928,
qwen2.5-coder:7b,HumanEval/77,0,AssertionError: Third test error: False,3.544308692761014,169,51948.729038238525,
qwen2.5-coder:7b,HumanEval/78,1,,3.3364061034946744,353,115461.15207672119,
qwen2.5-coder:7b,HumanEval/79,1,,3.428268343070362,199,63631.18553161621,
qwen2.5-coder:7b,HumanEval/80,1,,3.4936756394149575,186,58028.17440032959,
qwen2.5-coder:7b,HumanEval/81,0,SyntaxError: invalid syntax,3.3013370582732033,512,163677.6876449585,
qwen2.5-coder:7b,HumanEval/82,1,,3.6347785449680865,133,40746.62494659424,
qwen2.5-coder:7b,HumanEval/83,0,AssertionError,3.9765372938129904,84,23992.97261238098,
qwen2.5-coder:7b,HumanEval/84,1,,3.5074999278595493,163,52035.64739227295,
qwen2.5-coder:7b,HumanEval/85,1,,3.753732872519659,83,25423.940181732178,
qwen2.5-coder:7b,HumanEval/86,1,,3.5686946103331505,148,47005.2227973938,
qwen2.5-coder:7b,HumanEval/87,1,,3.3894736290396756,313,100853.81841659546,
qwen2.5-coder:7b,HumanEval/88,1,,3.446548779084713,259,82315.82593917847,
qwen2.5-coder:7b,HumanEval/89,1,,3.386780510630968,212,66951.39622688293,
qwen2.5-coder:7b,HumanEval/90,1,,3.6167684746536257,149,45936.44022941589,
qwen2.5-coder:7b,HumanEval/91,0,AssertionError: Test 2,3.60010763828673,146,45066.41721725464,
qwen2.5-coder:7b,HumanEval/92,1,,3.530273194578496,173,54617.05541610718,
qwen2.5-coder:7b,HumanEval/93,0,AssertionError: This prints if this assert fails 1 (good for debugging!),3.4466774799527045,255,78480.51929473877,
qwen2.5-coder:7b,HumanEval/94,1,,3.2641254761168623,425,139928.46632003784,
qwen2.5-coder:7b,HumanEval/95,0,AssertionError: Third test error: True,3.4605844613110928,227,71994.08173561096,
qwen2.5-coder:7b,HumanEval/96,0,AssertionError,3.4626178120616453,259,80443.57943534851,
qwen2.5-coder:7b,HumanEval/97,1,,3.525009408905928,129,41542.93179512024,
qwen2.5-coder:7b,HumanEval/98,1,,3.846960820165892,100,29703.811645507812,
qwen2.5-coder:7b,HumanEval/99,0,AssertionError: Test 3,3.437593034115933,202,65122.62296676636,
qwen2.5-coder:7b,HumanEval/100,1,,3.5600550297860765,189,58827.767848968506,
qwen2.5-coder:7b,HumanEval/101,1,,3.3543054972684865,124,41752.546548843384,
qwen2.5-coder:7b,HumanEval/102,1,,3.610279941615163,142,43698.45414161682,
qwen2.5-coder:7b,HumanEval/103,1,,5.119205059872225,41,13681.644678115845,
qwen2.5-coder:7b,HumanEval/104,1,,3.5844397578933047,163,50118.552923202515,
qwen2.5-coder:7b,HumanEval/105,1,,3.4128004701997536,365,115601.42922401428,
qwen2.5-coder:7b,HumanEval/106,1,,3.4825628308176935,228,70317.2254562378,
qwen2.5-coder:7b,HumanEval/107,1,,3.4041726251429374,302,95927.63876914978,
qwen2.5-coder:7b,HumanEval/108,1,,3.452619608925129,206,64441.245794296265,
qwen2.5-coder:7b,HumanEval/109,1,,3.958651925121343,89,32036.675930023193,
qwen2.5-coder:7b,HumanEval/110,1,,3.3497521434645248,260,84667.973279953,
qwen2.5-coder:7b,HumanEval/111,1,,3.4771091170729203,251,77854.96139526367,
qwen2.5-coder:7b,HumanEval/112,1,,3.3539775950060053,190,63023.81157875061,
qwen2.5-coder:7b,HumanEval/113,1,,3.3956213957548282,281,89140.16437530518,
qwen2.5-coder:7b,HumanEval/114,1,,3.6986111010818083,147,43872.83396720886,
qwen2.5-coder:7b,HumanEval/115,0,AssertionError: Error,5.346925405325088,38,16762.57586479187,
qwen2.5-coder:7b,HumanEval/116,1,,3.5329156963441672,188,59609.69614982605,
qwen2.5-coder:7b,HumanEval/117,1,,3.3292323159572397,238,77959.40923690796,
qwen2.5-coder:7b,HumanEval/118,1,,3.948557560334749,75,24807.427644729614,
qwen2.5-coder:7b,HumanEval/119,1,,3.3784811024659533,279,88856.87851905823,
qwen2.5-coder:7b,HumanEval/120,0,AssertionError,3.464774050736638,229,73353.54399681091,
qwen2.5-coder:7b,HumanEval/121,0,AssertionError,3.6579953885979952,132,40455.51109313965,
qwen2.5-coder:7b,HumanEval/122,1,,3.634989116888596,158,49155.048847198486,
qwen2.5-coder:7b,HumanEval/123,1,,3.393274521571192,326,104057.25455284119,
qwen2.5-coder:7b,HumanEval/124,1,,3.3225276687961385,446,143850.04496574402,
qwen2.5-coder:7b,HumanEval/125,0,AssertionError,3.470707274646492,197,62320.74308395386,
qwen2.5-coder:7b,HumanEval/126,1,,3.2726204688826583,345,113332.94367790222,
qwen2.5-coder:7b,HumanEval/127,0,AssertionError,3.3420175977604676,369,118516.71934127808,
qwen2.5-coder:7b,HumanEval/128,1,,3.454375987308335,192,60491.76073074341,
qwen2.5-coder:7b,HumanEval/129,1,,3.416273033195299,229,79449.9785900116,
qwen2.5-coder:7b,HumanEval/130,0,IndexError: list index out of range,3.364953300991147,342,109557.37018585205,
qwen2.5-coder:7b,HumanEval/131,1,,3.6852262313609403,130,39211.40146255493,
qwen2.5-coder:7b,HumanEval/132,0,AssertionError,3.4501312857978794,187,59744.41361427307,
qwen2.5-coder:7b,HumanEval/133,1,,3.4676523024502433,181,58548.29382896423,
qwen2.5-coder:7b,HumanEval/134,1,,3.5069568906622823,175,55522.22537994385,
qwen2.5-coder:7b,HumanEval/135,1,,3.685401479142418,141,42701.06768608093,
qwen2.5-coder:7b,HumanEval/136,1,,3.4752554858893707,210,66061.09237670898,
qwen2.5-coder:7b,HumanEval/137,1,,3.480680157474273,218,68501.18732452393,
qwen2.5-coder:7b,HumanEval/138,1,,3.6830514834339785,91,28319.833993911743,
qwen2.5-coder:7b,HumanEval/139,1,,3.5824976592734887,148,45887.322425842285,
qwen2.5-coder:7b,HumanEval/140,1,,3.5042047016218496,219,66967.24677085876,
qwen2.5-coder:7b,HumanEval/141,0,AssertionError,3.3289795870350765,266,87147.8853225708,
qwen2.5-coder:7b,HumanEval/142,1,,3.488898919841311,79,29000.15616416931,
qwen2.5-coder:7b,HumanEval/143,1,,3.340707302259359,234,75609.11703109741,
qwen2.5-coder:7b,HumanEval/144,1,,3.384159973920071,272,86001.38711929321,
qwen2.5-coder:7b,HumanEval/145,0,AssertionError,3.477383798397293,146,46808.995962142944,
qwen2.5-coder:7b,HumanEval/146,0,AssertionError,3.9398872433455305,81,26120.38779258728,
qwen2.5-coder:7b,HumanEval/147,1,,3.3743270644025496,259,83105.48639297485,
qwen2.5-coder:7b,HumanEval/148,1,,3.722973597203102,119,39176.34654045105,
qwen2.5-coder:7b,HumanEval/149,1,,3.374613646283754,256,82230.74507713318,
qwen2.5-coder:7b,HumanEval/150,1,,3.60753627059408,153,46436.39612197876,
qwen2.5-coder:7b,HumanEval/151,1,,3.4655272453151023,168,54158.11228752136,
qwen2.5-coder:7b,HumanEval/152,1,,5.7473291764949295,29,13147.49264717102,
qwen2.5-coder:7b,HumanEval/153,1,,3.3222685013105844,363,117629.44316864014,
qwen2.5-coder:7b,HumanEval/154,1,,3.60751150624136,173,53632.35425949097,
qwen2.5-coder:7b,HumanEval/155,1,,3.712276938559454,132,39109.73143577576,
qwen2.5-coder:7b,HumanEval/156,1,,3.3696992410829063,277,86650.52962303162,
qwen2.5-coder:7b,HumanEval/157,1,,3.6935197063890985,139,42089.7581577301,
qwen2.5-coder:7b,HumanEval/158,1,,3.536402704793126,195,59924.93987083435,
qwen2.5-coder:7b,HumanEval/159,1,,3.3359876919413853,319,105246.18864059448,
qwen2.5-coder:7b,HumanEval/160,1,,3.314909077773469,243,80501.69920921326,
qwen2.5-coder:7b,HumanEval/161,1,,3.5625041950846175,151,46894.03986930847,
qwen2.5-coder:7b,HumanEval/162,1,,3.478470284501159,107,34853.904247283936,
qwen2.5-coder:7b,HumanEval/163,0,AssertionError: Test 1,3.6561154620426,145,44114.83669281006,
